Ingredient_ID,Common_Ingredient_Name,Ingredient_Alternate_Name,Ingredient_Definition,Ingredient_Definition_Source,Ingredient_Def_Date,Ingredient_Chem_Ref
251,Vitamin E,Tocopheryl; Tocopherols; Tocopheryl Acetate Vitamin E Acetate; DL Alpha Tocopherol; Mixed Tocopherols,Tocopheryl acetate; also known as vitamin E acetate; is a common vitamin supplement with the molecular formula C31H52O3 (for 'α' form). It is the ester of acetic acid and tocopherol (vitamin E). It is often used indermatological products such as skin creams. Tocopheryl acetate is not oxidized and can penetrate through the skin to the living cells; where about 5% is converted to free tocopherol and provides beneficial antioxidant effects.,https://en.wikipedia.org/wiki/Tocopheryl_acetate,2/21/2016,na
252,Vitamin K1,na,na,na,na,na
253,Water,Aqua; Deionized Water,na,na,na,na
254,Wheat Germ Oil,na,na,na,na,na
255,White Oak Bark Extrack,na,na,na,na,na
256,Willow Extract,Epilobium Angustifolium; Willow Herb; Willow Herb Flower/Leaf/Stem Extract,Epilobium angustifolium is a PERENNIAL growing to 2 m (6ft) by 1 m (3ft 3in) at a fast rate.,http://www.pfaf.org/user/plant.aspx?LatinName=Epilobium+angustifolium,2/21/2016,na
257,Witch Hazel,na,na,na,na,na
258,Xanthan Gum,na,na,na,na,na
259,Yarrow,Achillea Millefolium,Achillea millefolium; commonly known as yarrow /ˈjæroʊ/ or common yarrow; is a flowering plant in the family Asteraceae. It is native to temperate regions of the Northern Hemisphere in Asia; Europe; and North America.[1] It has been introduced as a feed for live stock in places like New Zealand[2] and Australia. However; it is a weed in those places[2] and sometimes also in its native regions.[3],https://en.wikipedia.org/wiki/Achillea_millefolium,3/5/2016,na
260,Zinc Acetate,na,na,na,na,na
261,Zinc Oxide,Zinc Oxide (CI 77947),na,na,na,na
262,Zinc Stearate,na,na,na,na,na
